umap_n_components,umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_epsilon,n_clusters,n_outliers,outlier_pct,silhouette,dbcv,avg_persistence,score
2,10,0.0,20,5,0.1,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.10141779384996326,0.4890519818922483
2,10,0.0,25,5,0.0,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.09543812436681569,0.4890519818922483
2,10,0.0,20,5,0.3,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.10141779384996326,0.4890519818922483
2,10,0.0,20,5,0.05,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.10141779384996326,0.4890519818922483
2,10,0.0,25,5,0.1,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.09543812436681569,0.4890519818922483
2,10,0.0,25,5,0.3,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.09543812436681569,0.4890519818922483
2,10,0.0,25,5,0.05,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.09543812436681569,0.4890519818922483
2,10,0.0,20,5,0.2,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.10141779384996326,0.4890519818922483
2,15,0.05,15,1,0.3,2,2,0.7662835249042145,0.15429280698299408,0.09153581176156486,0.06568455253048211,0.4882256787022667
2,15,0.05,15,1,0.0,2,2,0.7662835249042145,0.15429280698299408,0.09153581176156486,0.06568455253048211,0.4882256787022667
2,15,0.05,15,1,0.1,2,2,0.7662835249042145,0.15429280698299408,0.09153581176156486,0.06568455253048211,0.4882256787022667
2,15,0.05,15,1,0.2,2,2,0.7662835249042145,0.15429280698299408,0.09153581176156486,0.06568455253048211,0.4882256787022667
2,15,0.05,15,1,0.05,2,2,0.7662835249042145,0.15429280698299408,0.09153581176156486,0.06568455253048211,0.4882256787022667
2,5,0.1,15,7,0.2,4,75,28.735632183908045,0.03731871023774147,0.27256605230783404,0.08668389222821363,0.4871529630909787
2,5,0.1,15,7,0.0,4,75,28.735632183908045,0.03731871023774147,0.27256605230783404,0.08668389222821363,0.4871529630909787
2,5,0.1,15,7,0.05,4,75,28.735632183908045,0.03731871023774147,0.27256605230783404,0.08668389222821363,0.4871529630909787
2,5,0.1,15,7,0.3,4,75,28.735632183908045,0.03731871023774147,0.27256605230783404,0.08668389222821363,0.4871529630909787
